asof_time,symbol,table_type,current_price,last_price,nearest_ib_level_name,nearest_ib_level_price,nearest_ib_distance_pips,nearest_ib_status,nearest_poc_level_name,nearest_poc_level_price,nearest_poc_distance_pips,nearest_poc_status,nearest_long_level_name,nearest_long_level_price,nearest_long_distance_pips,nearest_long_status,nearest_short_level_name,nearest_short_level_price,nearest_short_distance_pips,nearest_short_status,nearest_fresh_long_level_name,nearest_fresh_long_level_price,nearest_fresh_long_distance_pips,nearest_fresh_short_level_name,nearest_fresh_short_level_price,nearest_fresh_short_distance_pips,fresh_levels,tested_levels,crossed_levels,total_levels,signal_summary
2026-03-28 17:28:26.432024+00:00,AUD/JPY,intraday,110.189,110.189,M IB LOW,109.532,-65.65,fresh,M_POC,109.201,-98.8,fresh,M IB LOW,109.532,-65.65,fresh,M IB HIGH,112.094,190.55,crossed,M IB LOW,109.532,-65.65,W_POC,112.255,206.6,3,0,1,4,Support M IB LOW (fresh) @ 109.532 [-65.65 pips] | Resistance M IB HIGH (crossed) @ 112.094 [190.55 pips] | POC M_POC (fresh) @ 109.201 [-98.80 pips] | IB M IB LOW (fresh) @ 109.532 [-65.65 pips]
2026-03-28 17:28:12.619248+00:00,AUD/USD,intraday,0.68737,0.68737,M IB LOW,0.69442,70.5,crossed,,,,,,,,,M IB LOW,0.69442,70.5,crossed,,,,,,,0,0,1,1,Support - | Resistance M IB LOW (crossed) @ 0.69442 [70.50 pips] | POC - | IB M IB LOW (crossed) @ 0.69442 [70.50 pips]
2026-03-28 17:28:28.273907+00:00,CAD/JPY,intraday,115.39,115.39,M IB HIGH,115.719,32.95,crossed,M_POC,114.763,-62.75,crossed,M_POC,114.763,-62.75,crossed,M IB HIGH,115.719,32.95,crossed,M IB LOW,114.035,-135.55,M IB 150,118.247,285.7,2,1,2,5,Support M_POC (crossed) @ 114.763 [-62.75 pips] | Resistance M IB HIGH (crossed) @ 115.719 [32.95 pips] | POC M_POC (crossed) @ 114.763 [-62.75 pips] | IB M IB HIGH (crossed) @ 115.719 [32.95 pips]
2026-03-28 17:28:30.381464+00:00,CHF/JPY,intraday,200.587,200.587,M IB LOW,200.423,-16.45,crossed,M_POC,200.008,-57.95,crossed,M IB LOW,200.423,-16.45,crossed,W_POC,202.063,147.55,crossed,,,,,,,0,0,3,3,Support M IB LOW (crossed) @ 200.423 [-16.45 pips] | Resistance W_POC (crossed) @ 202.063 [147.55 pips] | POC M_POC (crossed) @ 200.008 [-57.95 pips] | IB M IB LOW (crossed) @ 200.423 [-16.45 pips]
2026-03-28 17:28:22.918292+00:00,EUR/CHF,intraday,0.91968,0.91968,M IB HIGH,0.91309,-65.85,crossed,M_POC,0.91315,-65.25,crossed,M_POC,0.91315,-65.25,crossed,M IB 150,0.93002,103.5,fresh,,,,M IB 150,0.93002,103.5,1,0,3,4,Support M_POC (crossed) @ 0.91315 [-65.25 pips] | Resistance M IB 150 (fresh) @ 0.93002 [103.50 pips] | POC M_POC (crossed) @ 0.91315 [-65.25 pips] | IB M IB HIGH (crossed) @ 0.91309 [-65.85 pips]
2026-03-28 17:28:17.062019+00:00,EUR/GBP,intraday,0.8679,0.8679,M IB LOW,0.86844,5.35,crossed,M_POC,0.87155,36.5,crossed,W_POC,0.86385,-40.5,crossed,M IB LOW,0.86844,5.35,crossed,M IB -150,0.85296,-149.45,M IB HIGH,0.87875,108.55,2,0,3,5,Support W_POC (crossed) @ 0.86385 [-40.50 pips] | Resistance M IB LOW (crossed) @ 0.86844 [5.35 pips] | POC M_POC (crossed) @ 0.87155 [36.50 pips] | IB M IB LOW (crossed) @ 0.86844 [5.35 pips]
2026-03-28 17:28:18.956599+00:00,EUR/JPY,intraday,184.49,184.49,M IB HIGH,184.694,20.4,fresh,M_POC,183.61,-88.05,crossed,M_POC,183.61,-88.05,crossed,M IB HIGH,184.694,20.4,fresh,,,,M IB HIGH,184.694,20.4,1,0,3,4,Support M_POC (crossed) @ 183.61 [-88.05 pips] | Resistance M IB HIGH (fresh) @ 184.694 [20.40 pips] | POC M_POC (crossed) @ 183.61 [-88.05 pips] | IB M IB HIGH (fresh) @ 184.694 [20.40 pips]
2026-03-28 17:28:05.198243+00:00,EUR/USD,intraday,1.15113,1.15113,M IB LOW,1.15303,19.0,crossed,W_POC,1.15385,27.2,crossed,,,,,M IB LOW,1.15303,19.0,crossed,,,,,,,0,0,2,2,Support - | Resistance M IB LOW (crossed) @ 1.15303 [19.00 pips] | POC W_POC (crossed) @ 1.15385 [27.20 pips] | IB M IB LOW (crossed) @ 1.15303 [19.00 pips]
2026-03-28 17:28:24.535087+00:00,GBP/CHF,intraday,1.06018,1.06018,M IB HIGH,1.04725,-129.25,crossed,W_POC,1.04865,-115.25,fresh,W_POC,1.04865,-115.25,fresh,,,,,W_POC,1.04865,-115.25,,,,1,0,2,3,Support W_POC (fresh) @ 1.04865 [-115.25 pips] | Resistance - | POC W_POC (fresh) @ 1.04865 [-115.25 pips] | IB M IB HIGH (crossed) @ 1.04725 [-129.25 pips]
2026-03-28 17:28:21.217511+00:00,GBP/JPY,intraday,212.642,212.642,M IB HIGH,211.388,-125.35,crossed,W_POC,212.283,-35.95,crossed,W_POC,212.283,-35.95,crossed,M IB 150,214.697,205.48,fresh,,,,M IB 150,214.697,205.48,1,0,2,3,Support W_POC (crossed) @ 212.283 [-35.95 pips] | Resistance M IB 150 (fresh) @ 214.697 [205.48 pips] | POC W_POC (crossed) @ 212.283 [-35.95 pips] | IB M IB HIGH (crossed) @ 211.388 [-125.35 pips]
2026-03-28 17:28:06.933975+00:00,GBP/USD,intraday,1.32608,1.32608,M IB LOW,1.32531,-7.75,crossed,W_POC,1.33335,72.7,crossed,M IB LOW,1.32531,-7.75,crossed,W_POC,1.33335,72.7,crossed,,,,,,,0,0,2,2,Support M IB LOW (crossed) @ 1.32531 [-7.75 pips] | Resistance W_POC (crossed) @ 1.33335 [72.70 pips] | POC W_POC (crossed) @ 1.33335 [72.70 pips] | IB M IB LOW (crossed) @ 1.32531 [-7.75 pips]
2026-03-28 17:28:15.641927+00:00,NZD/USD,intraday,0.57442,0.57442,M IB LOW,0.58361,91.85,crossed,W_POC,0.58415,97.3,crossed,M IB -150,0.55964,-147.85,fresh,M IB LOW,0.58361,91.85,crossed,M IB -150,0.55964,-147.85,,,,1,0,2,3,Support M IB -150 (fresh) @ 0.55964 [-147.85 pips] | Resistance M IB LOW (crossed) @ 0.58361 [91.85 pips] | POC W_POC (crossed) @ 0.58415 [97.30 pips] | IB M IB LOW (crossed) @ 0.58361 [91.85 pips]
2026-03-28 17:28:14.211698+00:00,USD/CAD,intraday,1.38936,1.38936,M IB 150,1.39602,66.63,fresh,,,,,M IB HIGH,1.3753,-140.6,crossed,M IB 150,1.39602,66.63,fresh,,,,M IB 150,1.39602,66.63,2,0,1,3,Support M IB HIGH (crossed) @ 1.3753 [-140.60 pips] | Resistance M IB 150 (fresh) @ 1.39602 [66.63 pips] | POC - | IB M IB 150 (fresh) @ 1.39602 [66.63 pips]
2026-03-28 17:28:10.878701+00:00,USD/CHF,intraday,0.79892,0.79892,M IB HIGH,0.78788,-110.3,crossed,W_POC,0.78865,-102.65,crossed,W_POC,0.78865,-102.65,crossed,,,,,,,,,,,0,0,2,2,Support W_POC (crossed) @ 0.78865 [-102.65 pips] | Resistance - | POC W_POC (crossed) @ 0.78865 [-102.65 pips] | IB M IB HIGH (crossed) @ 0.78788 [-110.30 pips]
2026-03-28 17:28:09.220080+00:00,USD/JPY,intraday,160.293,160.293,M IB 150,161.617,132.35,fresh,W_POC,159.237,-105.7,crossed,W_POC,159.237,-105.7,crossed,M IB 150,161.617,132.35,fresh,,,,M IB 150,161.617,132.35,2,0,2,4,Support W_POC (crossed) @ 159.237 [-105.70 pips] | Resistance M IB 150 (fresh) @ 161.617 [132.35 pips] | POC W_POC (crossed) @ 159.237 [-105.70 pips] | IB M IB 150 (fresh) @ 161.617 [132.35 pips]
