asof_time,table_type,source_table_type,instrument,current_price,last_price,res1_name,res1_price,res1_pips,res1_family,res1_period,res1_status,res1_conf,res1_conf_name,res1_conf_pips,res2_name,res2_price,res2_pips,res2_family,res2_period,res2_status,res2_conf,res2_conf_name,res2_conf_pips,sup1_name,sup1_price,sup1_pips,sup1_family,sup1_period,sup1_status,sup1_conf,sup1_conf_name,sup1_conf_pips,sup2_name,sup2_price,sup2_pips,sup2_family,sup2_period,sup2_status,sup2_conf,sup2_conf_name,sup2_conf_pips,source_levels,source_resistances,source_supports,selected_resistances,selected_supports,selected_levels,confluence_candidates,confluence_hits,signal_summary
2026-03-28 17:33:51.226416+00:00,invest_poc_matrix,invest,AUD/JPY,110.189,110.189,,,,,,,,,,,,,,,,,,,Y_POC,97.831,-1235.8,POC,Y,fresh,,,,Y_VAH,101.04,-914.9,POC,Y,fresh,,,,3,0,3,0,3,3,5,0,Sup1 Y_POC (fresh) @ 97.831 [-1235.80 pips] | Sup2 Y_VAH (fresh) @ 101.04 [-914.90 pips] | Sup3 Y_VAL (fresh) @ 95.136 [-1505.30 pips]
2026-03-28 17:33:42.485126+00:00,invest_poc_matrix,invest,AUD/USD,0.68737,0.68737,,,,,,,,,,,,,,,,,,,Y_POC,0.65235,-350.15,POC,Y,fresh,,,,Y_VAH,0.65995,-274.15,POC,Y,fresh,,,,3,0,3,0,3,3,3,0,Sup1 Y_POC (fresh) @ 0.65235 [-350.15 pips] | Sup2 Y_VAH (fresh) @ 0.65995 [-274.15 pips] | Sup3 Y_VAL (fresh) @ 0.64425 [-431.15 pips]
2026-03-28 17:33:52.393850+00:00,invest_poc_matrix,invest,CAD/JPY,115.39,115.39,,,,,,,,,,,,,,,,,,,Y_POC,106.87,-852.05,POC,Y,fresh,,,,Y_VAH,109.921,-546.95,POC,Y,fresh,,,,3,0,3,0,3,3,7,0,Sup1 Y_POC (fresh) @ 106.87 [-852.05 pips] | Sup2 Y_VAH (fresh) @ 109.921 [-546.95 pips] | Sup3 Y_VAL (fresh) @ 106.019 [-937.15 pips]
2026-03-28 17:33:53.663607+00:00,invest_poc_matrix,invest,CHF/JPY,200.587,200.587,,,,,,,,,,,,,,,,,,,Y_POC,183.452,-1713.55,POC,Y,fresh,,,,Y_VAH,192.957,-763.05,POC,Y,fresh,,,,3,0,3,0,3,3,5,0,Sup1 Y_POC (fresh) @ 183.452 [-1713.55 pips] | Sup2 Y_VAH (fresh) @ 192.957 [-763.05 pips] | Sup3 Y_VAL (fresh) @ 181.505 [-1908.25 pips]
2026-03-28 17:33:49.059891+00:00,invest_poc_matrix,invest,EUR/CHF,0.91968,0.91968,Y_VAH,0.93695,172.75,POC,Y,fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,5,0,Res1 Y_VAH (fresh) @ 0.93695 [172.75 pips]
2026-03-28 17:33:45.529711+00:00,invest_poc_matrix,invest,EUR/GBP,0.8679,0.8679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,
2026-03-28 17:33:46.787607+00:00,invest_poc_matrix,invest,EUR/JPY,184.49,184.49,,,,,,,,,,,,,,,,,,,Y_POC,172.481,-1200.95,POC,Y,fresh,,,,Y_VAH,178.259,-623.15,POC,Y,fresh,,,,3,0,3,0,3,3,6,0,Sup1 Y_POC (fresh) @ 172.481 [-1200.95 pips] | Sup2 Y_VAH (fresh) @ 178.259 [-623.15 pips] | Sup3 Y_VAL (fresh) @ 169.946 [-1454.45 pips]
2026-03-28 17:33:38.032343+00:00,invest_poc_matrix,invest,EUR/USD,1.15113,1.15113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,0,
2026-03-28 17:33:50.057757+00:00,invest_poc_matrix,invest,GBP/CHF,1.06018,1.06018,Y_VAH,1.08075,205.75,POC,Y,fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,2,0,Res1 Y_VAH (fresh) @ 1.08075 [205.75 pips]
2026-03-28 17:33:48.066642+00:00,invest_poc_matrix,invest,GBP/JPY,212.642,212.642,,,,,,,,,,,,,,,,,,,Y_POC,199.666,-1297.65,POC,Y,fresh,,,,Y_VAH,204.865,-777.75,POC,Y,fresh,,,,3,0,3,0,3,3,5,0,Sup1 Y_POC (fresh) @ 199.666 [-1297.65 pips] | Sup2 Y_VAH (fresh) @ 204.865 [-777.75 pips] | Sup3 Y_VAL (fresh) @ 197.604 [-1503.85 pips]
2026-03-28 17:33:39.028822+00:00,invest_poc_matrix,invest,GBP/USD,1.32608,1.32608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,
2026-03-28 17:33:44.532100+00:00,invest_poc_matrix,invest,NZD/USD,0.57442,0.57442,,,,,,,,,,,,,,,,,,,Y_VAL,0.57045,-39.7,POC,Y,fresh,,,,,,,,,,,,,1,0,1,0,1,1,5,0,Sup1 Y_VAL (fresh) @ 0.57045 [-39.70 pips]
2026-03-28 17:33:43.542362+00:00,invest_poc_matrix,invest,USD/CAD,1.38936,1.38936,Y_POC,1.40335,139.9,POC,Y,fresh,,,,Y_VAH,1.41265,232.9,POC,Y,fresh,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,0,2,4,0,Res1 Y_POC (fresh) @ 1.40335 [139.90 pips] | Res2 Y_VAH (fresh) @ 1.41265 [232.90 pips]
2026-03-28 17:33:41.419376+00:00,invest_poc_matrix,invest,USD/CHF,0.79892,0.79892,Y_VAH,0.80605,71.35,POC,Y,fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,4,0,Res1 Y_VAH (fresh) @ 0.80605 [71.35 pips]
2026-03-28 17:33:40.331232+00:00,invest_poc_matrix,invest,USD/JPY,160.293,160.293,,,,,,,,,,,,,,,,,,,Y_POC,147.399,-1289.5,POC,Y,fresh,,,,Y_VAL,146.172,-1412.2,POC,Y,fresh,,,,2,0,2,0,2,2,4,0,Sup1 Y_POC (fresh) @ 147.399 [-1289.50 pips] | Sup2 Y_VAL (fresh) @ 146.172 [-1412.20 pips]
